id,left_title,right_title,left_authors,right_authors,left_keywords,right_keywords
11,transparency and explainability of ai systems: ethical guidelines in practice,a survey on datasets for fairness-aware machine learning,"balasubramaniam n,kauppinen m,hiekkanen k,kujala s","le quy t,roy a,iosifidis v,zhang w,ntoutsi e","ai systems,ethical guidelines,explainability,quality requirements,transparency","aware machine learning,benchmark datasets,bias,datasets for fairness,discrimination,fairness"
12,transparency and explainability of ai systems: ethical guidelines in practice,revealing factors influencing students' perceived fairness: a case with a predictive system for math learning,"balasubramaniam n,kauppinen m,hiekkanen k,kujala s","li c,xing w","ai systems,ethical guidelines,explainability,quality requirements,transparency","fair ai,human-centered computing,math learning,perceived fairness"
13,transparency and explainability of ai systems: ethical guidelines in practice,trustworthy ai: from principles to practices,"balasubramaniam n,kauppinen m,hiekkanen k,kujala s","libo,qipeng,liubo,dishuai,liujingen,peijiquan,yijinfeng,zhoubowen","ai systems,ethical guidelines,explainability,quality requirements,transparency","trustworthy ai,accountability,explainability,fairness,generalization,privacy protection,reproducibility,robustness,transparency"
14,transparency and explainability of ai systems: ethical guidelines in practice,"assessing the fairness of ai systems: ai practitioners' processes, challenges, and needs for support","balasubramaniam n,kauppinen m,hiekkanen k,kujala s","madaio m,egede l,subramonyam h,wortman vaughan j,wallach h","ai systems,ethical guidelines,explainability,quality requirements,transparency","ai,fairness,machine learning,software development practices"
15,transparency and explainability of ai systems: ethical guidelines in practice,"ai4people - on good ai governance: 14 priority actions, a s.m.a.r.t. model of governance, and a regulatory toolbox","balasubramaniam n,kauppinen m,hiekkanen k,kujala s","pagallo u,aurucci p,casanovas p,chatila r,chazerand p,dignum v,luetge c,madelin r,schafer b,valcke p","ai systems,ethical guidelines,explainability,quality requirements,transparency","ai4people - on good ai governance: 14 priority actions,artificial intelligence,burkhard schafer,christoph luetge,governance,paola aurucci,patrice chazerand,peggy valcke,pompeu casanovas,raja chatila,regulation,robert madelin,ssrn,ugo pagallo,virginia dignum,a s.m.a.r.t. model of governance,and a regulatory toolbox"
16,transparency and explainability of ai systems: ethical guidelines in practice,artificial intelligence in human resources management: challenges and a path forward,"balasubramaniam n,kauppinen m,hiekkanen k,kujala s","tambe p,cappelli p,yakubovich v","ai systems,ethical guidelines,explainability,quality requirements,transparency","data analysis,decision-making tools,hiring and recruitment,human capital,human resource ethics,information systems"
17,transparency and explainability of ai systems: ethical guidelines in practice,artificial intelligence and the public sectorâ€”applications and challenges,"balasubramaniam n,kauppinen m,hiekkanen k,kujala s","wirtz bw,weyerer jc,geyer c","ai systems,ethical guidelines,explainability,quality requirements,transparency","ai applications,ai challenges,artificial intelligence,public sector"
18,transparency and explainability of ai systems: ethical guidelines in practice,effective exposure amortizing for fair top-k recommendation,"balasubramaniam n,kauppinen m,hiekkanen k,kujala s","yang t,xu z,ai q","ai systems,ethical guidelines,explainability,quality requirements,transparency","ccs concepts â€¢ information systems â†’ recommender systems; learning to rank keywords fair ranking,exposure,position bias,top-Ã­ ÂµÃ­Â±Â˜ recommendation"
19,transparency and explainability of ai systems: ethical guidelines in practice,flexible and adaptive fairness-aware learning in non-stationary data streams,"balasubramaniam n,kauppinen m,hiekkanen k,kujala s","zhang w,zhang m,zhang j,liu z,...","ai systems,ethical guidelines,explainability,quality requirements,transparency","ai fairness,flexible fairness,online classification"
20,transparency and explainability of ai systems: ethical guidelines in practice,"bias, fairness and accountability with artificial intelligence and machine learning algorithms","balasubramaniam n,kauppinen m,hiekkanen k,kujala s","zhou n,zhang z,nair vn,singhal h,chen j","ai systems,ethical guidelines,explainability,quality requirements,transparency","ai,ml,algorithm,bias,fairness"
21,a perspective on fairness in artificial intelligence,transparency and explainability of ai systems: ethical guidelines in practice,bhattacharya p,"balasubramaniam n,kauppinen m,hiekkanen k,kujala s","a perspective on fairness in artificial intelligence,priyanka bhattacharya,ssrn,artificial intelligence,biases,consumer information,fairness,privacy laws","ai systems,ethical guidelines,explainability,quality requirements,transparency"
22,a perspective on fairness in artificial intelligence,"artificial intelligence, intersectionality, and the future of public health",bhattacharya p,"bauer gr,lizotte dj","a perspective on fairness in artificial intelligence,priyanka bhattacharya,ssrn,artificial intelligence,biases,consumer information,fairness,privacy laws","ajph,apha,american,association,health,journal,public,ethics,infrastructure,policy,practice"
23,a perspective on fairness in artificial intelligence,using edge cases to disentangle fairness and solidarity in ai ethics,bhattacharya p,brusseau j,"a perspective on fairness in artificial intelligence,priyanka bhattacharya,ssrn,artificial intelligence,biases,consumer information,fairness,privacy laws","artificial intelligence,ethics,fairness,philosophy,solidarity"
24,a perspective on fairness in artificial intelligence,fairness & friends in the data science era,bhattacharya p,"catania b,guerrini g,accinelli c","a perspective on fairness in artificial intelligence,priyanka bhattacharya,ssrn,artificial intelligence,biases,consumer information,fairness,privacy laws","data-informed automated decision system,diversity,fairness,nondiscrimination,processing pipeline"
25,a perspective on fairness in artificial intelligence,a sociotechnical view of algorithmic fairness,bhattacharya p,"dolata m,feuerriegel s,schwabe g","a perspective on fairness in artificial intelligence,priyanka bhattacharya,ssrn,artificial intelligence,biases,consumer information,fairness,privacy laws","algorithmic fairness,literature review,problematization,research agenda,sociotechnical perspective,state of the art"
26,a perspective on fairness in artificial intelligence,ai-enabled radio resource allocation in 5g for urllc and embb users,bhattacharya p,"elsayed m,erol-kantarci m","a perspective on fairness in artificial intelligence,priyanka bhattacharya,ssrn,artificial intelligence,biases,consumer information,fairness,privacy laws","5g mobile communication,delays,quality of service,reliability,resource management,throughput"
27,a perspective on fairness in artificial intelligence,"addressing fairness, bias, and appropriate use of artificial intelligence and machine learning in global health",bhattacharya p,"fletcher rr,nakeshimana a,...","a perspective on fairness in artificial intelligence,priyanka bhattacharya,ssrn,artificial intelligence,biases,consumer information,fairness,privacy laws","appropriate use,artificial intelligence,bias,ethics,fairness,global health,machine learning,medicine"
28,a perspective on fairness in artificial intelligence,rawls's original position and algorithmic fairness,bhattacharya p,franke u,"a perspective on fairness in artificial intelligence,priyanka bhattacharya,ssrn,artificial intelligence,biases,consumer information,fairness,privacy laws","algorithmic fairness,original position,veil of ignorance,veil of uncertainty"
29,a perspective on fairness in artificial intelligence,an ontology for fairness metrics,bhattacharya p,"franklin js,bhanot k,ghalwash m,bennett kp,mccusker j,mcguinness dl","a perspective on fairness in artificial intelligence,priyanka bhattacharya,ssrn,artificial intelligence,biases,consumer information,fairness,privacy laws","bias,fairness metric,machine learning evaluation,rdf knowledge graph"
30,a perspective on fairness in artificial intelligence,understanding decision subjects' fairness perceptions and retention in repeated interactions with ai-based decision systems,bhattacharya p,"gemalmaz ma,yin m","a perspective on fairness in artificial intelligence,priyanka bhattacharya,ssrn,artificial intelligence,biases,consumer information,fairness,privacy laws","ai-based decision systems,fairness,fairness perceptions,human-ai interaction,human-subject experiments,retention"
31,a perspective on fairness in artificial intelligence,beyond bias and discrimination: redefining the ai ethics principle of fairness in healthcare machine-learning algorithms,bhattacharya p,"giovanola b,tiribelli s","a perspective on fairness in artificial intelligence,priyanka bhattacharya,ssrn,artificial intelligence,biases,consumer information,fairness,privacy laws","bias,discrimination,ethics of algorithms,fairness,healthcare machine-learning algorithms,respect"
32,a perspective on fairness in artificial intelligence,marrying fairness and explainability in supervised learning,bhattacharya p,"grabowicz pa,perello n,mishra a","a perspective on fairness in artificial intelligence,priyanka bhattacharya,ssrn,artificial intelligence,biases,consumer information,fairness,privacy laws","algorithmic fairness,discrimination,explainability,machine learning,supervised learning"
33,a perspective on fairness in artificial intelligence,speciesist bias in ai: how ai applications perpetuate discrimination and unfair outcomes against animals,bhattacharya p,"hagendorff t,bossert ln,yip textperiodcentered,tse f,singer textperiodcenteredp","a perspective on fairness in artificial intelligence,priyanka bhattacharya,ssrn,artificial intelligence,biases,consumer information,fairness,privacy laws","artificial intelligence,ethics,fairness,machine learning,speciesism,speciesist bias"
34,a perspective on fairness in artificial intelligence,who is the fairest of them all? public attitudes and expectations regarding automated decision-making,bhattacharya p,"helberger n,araujo t,de vreese ch","a perspective on fairness in artificial intelligence,priyanka bhattacharya,ssrn,artificial intelligence,biases,consumer information,fairness,privacy laws","algorithmic fairness,automated-decision making,public perceptions"
35,a perspective on fairness in artificial intelligence,principal fairness for human and algorithmic decision-making,bhattacharya p,"imai k,jiang z","a perspective on fairness in artificial intelligence,priyanka bhattacharya,ssrn,artificial intelligence,biases,consumer information,fairness,privacy laws","algorithmic fairness,causal inference,potential outcomes,principal stratification"
36,a perspective on fairness in artificial intelligence,"introduction to the special issue on ai fairness, trust, and ethics",bhattacharya p,"jr lp,bansal g,melville n,...","a perspective on fairness in artificial intelligence,priyanka bhattacharya,ssrn,artificial intelligence,biases,consumer information,fairness,privacy laws","ai bias,ai fairness,ai trust,artificial intelligence"
37,a perspective on fairness in artificial intelligence,exploring bias and fairness in artificial intelligence and machine learning algorithms,bhattacharya p,"khakurel ub,abdelmoumin g,bajracharya a,rawat db","a perspective on fairness in artificial intelligence,priyanka bhattacharya,ssrn,artificial intelligence,biases,consumer information,fairness,privacy laws","artificial intelligence,detection and tracking algorithms,machine learning,performance modeling,systems modeling"
38,a perspective on fairness in artificial intelligence,ai & intellectual property: towards an articulated public domain,bhattacharya p,kop m,"a perspective on fairness in artificial intelligence,priyanka bhattacharya,ssrn,artificial intelligence,biases,consumer information,fairness,privacy laws","founder of musicajuridica and strategic in- tellectual property lawyer at alrecht in amsterdam,james grimmelmann (cornell law school),joao pedro quintais (ivir) and suzan slijpen (slijpen legal),for their valuable contributions,insight and comments"
39,a perspective on fairness in artificial intelligence,a survey on datasets for fairness-aware machine learning,bhattacharya p,"le quy t,roy a,iosifidis v,zhang w,ntoutsi e","a perspective on fairness in artificial intelligence,priyanka bhattacharya,ssrn,artificial intelligence,biases,consumer information,fairness,privacy laws","aware machine learning,benchmark datasets,bias,datasets for fairness,discrimination,fairness"
40,a perspective on fairness in artificial intelligence,revealing factors influencing students' perceived fairness: a case with a predictive system for math learning,bhattacharya p,"li c,xing w","a perspective on fairness in artificial intelligence,priyanka bhattacharya,ssrn,artificial intelligence,biases,consumer information,fairness,privacy laws","fair ai,human-centered computing,math learning,perceived fairness"
41,a perspective on fairness in artificial intelligence,fmea-ai: ai fairness impact assessment using failure mode and effects analysis,bhattacharya p,"li j,chignell textperiodcenteredm","a perspective on fairness in artificial intelligence,priyanka bhattacharya,ssrn,artificial intelligence,biases,consumer information,fairness,privacy laws","artificial intelligence,ethics,human rights impact assessments,proportional satisfaction of claims,risk analysis"
42,a perspective on fairness in artificial intelligence,trustworthy ai: from principles to practices,bhattacharya p,"libo,qipeng,liubo,dishuai,liujingen,peijiquan,yijinfeng,zhoubowen","a perspective on fairness in artificial intelligence,priyanka bhattacharya,ssrn,artificial intelligence,biases,consumer information,fairness,privacy laws","trustworthy ai,accountability,explainability,fairness,generalization,privacy protection,reproducibility,robustness,transparency"
43,a perspective on fairness in artificial intelligence,"assessing the fairness of ai systems: ai practitioners' processes, challenges, and needs for support",bhattacharya p,"madaio m,egede l,subramonyam h,wortman vaughan j,wallach h","a perspective on fairness in artificial intelligence,priyanka bhattacharya,ssrn,artificial intelligence,biases,consumer information,fairness,privacy laws","ai,fairness,machine learning,software development practices"
44,a perspective on fairness in artificial intelligence,assessing ai fairness in finance,bhattacharya p,"mccalman l,steinberg d,abuhamad g,brunet me,williamson rc,zemel r,lin hy","a perspective on fairness in artificial intelligence,priyanka bhattacharya,ssrn,artificial intelligence,biases,consumer information,fairness,privacy laws","artificial intelligence,bank data processing"
45,a perspective on fairness in artificial intelligence,"ai4people - on good ai governance: 14 priority actions, a s.m.a.r.t. model of governance, and a regulatory toolbox",bhattacharya p,"pagallo u,aurucci p,casanovas p,chatila r,chazerand p,dignum v,luetge c,madelin r,schafer b,valcke p","a perspective on fairness in artificial intelligence,priyanka bhattacharya,ssrn,artificial intelligence,biases,consumer information,fairness,privacy laws","ai4people - on good ai governance: 14 priority actions,artificial intelligence,burkhard schafer,christoph luetge,governance,paola aurucci,patrice chazerand,peggy valcke,pompeu casanovas,raja chatila,regulation,robert madelin,ssrn,ugo pagallo,virginia dignum,a s.m.a.r.t. model of governance,and a regulatory toolbox"
46,a perspective on fairness in artificial intelligence,improving fairness of artificial intelligence algorithms in privileged-group selection bias data settings,bhattacharya p,"pessach d,shmueli e","a perspective on fairness in artificial intelligence,priyanka bhattacharya,ssrn,artificial intelligence,biases,consumer information,fairness,privacy laws","algorithmic bias,algorithmic fairness,fairness-aware machine learning,selection bias,semi-supervised learning"
47,a perspective on fairness in artificial intelligence,artificial intelligence evolution: on the virtue of killing in the artificial age,bhattacharya p,puaschunder jm,"a perspective on fairness in artificial intelligence,priyanka bhattacharya,ssrn,artificial intelligence,biases,consumer information,fairness,privacy laws","ai,ai-evolution,algorithms,cognitive robotics,emerging technologies,ethical issues,"
48,a perspective on fairness in artificial intelligence,"on the relationship between explanations, fairness perceptions, and decisions",bhattacharya p,"schoeffer j,de-arteaga m,kuehl n","a perspective on fairness in artificial intelligence,priyanka bhattacharya,ssrn,artificial intelligence,biases,consumer information,fairness,privacy laws","author keywords algorithmic decision-making,explanations,fairness,human-ai complementarity,perceptions,reliance"
49,a perspective on fairness in artificial intelligence,linear versus nonlinear allocation rules in risk sharing under financial fairness,bhattacharya p,schumacher jm,"a perspective on fairness in artificial intelligence,priyanka bhattacharya,ssrn,artificial intelligence,biases,consumer information,fairness,privacy laws","borch theorem,risk sharing,allocation rules,financial fairness,syndicates"
50,a perspective on fairness in artificial intelligence,artificial intelligence in human resources management: challenges and a path forward,bhattacharya p,"tambe p,cappelli p,yakubovich v","a perspective on fairness in artificial intelligence,priyanka bhattacharya,ssrn,artificial intelligence,biases,consumer information,fairness,privacy laws","data analysis,decision-making tools,hiring and recruitment,human capital,human resource ethics,information systems"
51,a perspective on fairness in artificial intelligence,a framework for social fairness â€“ insights from two algorithmic decision â€“ making controversies in the netherlands,bhattacharya p,"timan t,grommÃ© f","a perspective on fairness in artificial intelligence,priyanka bhattacharya,ssrn,artificial intelligence,biases,consumer information,fairness,privacy laws","ai,fairness,framework,francisca grommÃ©,ssrn,tjerk timan"
52,a perspective on fairness in artificial intelligence,artificial intelligence applications for older adults and people with disabilities: balancing safety and autonomy: proceedings of a workshopâ€”in brief,bhattacharya p,"undefined,ta l,cm c","a perspective on fairness in artificial intelligence,priyanka bhattacharya,ssrn,artificial intelligence,biases,consumer information,fairness,privacy laws","europe pmc,europe pubmed central,orcids,rest apis,abstracts,bioinformatics,biological patents,biomedical journals,biomedical research,citation networks,citation search,clinical guidelines,full text,journal articles,life sciences,literature search,open access,research articles,text mining"
53,a perspective on fairness in artificial intelligence,ai ethics in industry: a research framework,bhattacharya p,"ville v,kai-kristian k,pekka a","a perspective on fairness in artificial intelligence,priyanka bhattacharya,ssrn,artificial intelligence,biases,consumer information,fairness,privacy laws","ai development,ai ethics,accountability,artificial intelligence,research framework,responsibility,transparency"
54,a perspective on fairness in artificial intelligence,why fairness cannot be automated: bridging the gap between eu non-discrimination law and ai,bhattacharya p,"wachter s,mittelstadt b,russell c","a perspective on fairness in artificial intelligence,priyanka bhattacharya,ssrn,artificial intelligence,biases,consumer information,fairness,privacy laws","algorithm,artificial intelligence,bias,demographic parity,discrimination,european union,fairness,law,machine learning,non-discrimination"
55,a perspective on fairness in artificial intelligence,user association and resource allocation in full-duplex relay aided noma systems,bhattacharya p,"wang l,ai y,liu n,fei a","a perspective on fairness in artificial intelligence,priyanka bhattacharya,ssrn,artificial intelligence,biases,consumer information,fairness,privacy laws","full-duplex (fd) relaying,nonorthogonal multiple access (noma),resource allocation"
56,a perspective on fairness in artificial intelligence,artificial intelligence and the public sectorâ€”applications and challenges,bhattacharya p,"wirtz bw,weyerer jc,geyer c","a perspective on fairness in artificial intelligence,priyanka bhattacharya,ssrn,artificial intelligence,biases,consumer information,fairness,privacy laws","ai applications,ai challenges,artificial intelligence,public sector"
57,a perspective on fairness in artificial intelligence,the rising tide of artificial intelligence and business automation: developing an ethical framework,bhattacharya p,"wright sa,schultz ae","a perspective on fairness in artificial intelligence,priyanka bhattacharya,ssrn,artificial intelligence,biases,consumer information,fairness,privacy laws","artificial intelligence,automation,business ethics,social contracts theory,stakeholder theory,work displacement"
58,a perspective on fairness in artificial intelligence,achieving causal fairness through generative adversarial networks,bhattacharya p,"xu d,wu y,yuan s,zhang l,wu x","a perspective on fairness in artificial intelligence,priyanka bhattacharya,ssrn,artificial intelligence,biases,consumer information,fairness,privacy laws","humans and ai: ethical issues in ai,machine learning: adversarial machine learning,machine learning: learning generative models"
59,a perspective on fairness in artificial intelligence,algorithmic fairness in computational medicine,bhattacharya p,"xu j,xiao y,wang wh,ning y,shenkman ea,bian j,wang f","a perspective on fairness in artificial intelligence,priyanka bhattacharya,ssrn,artificial intelligence,biases,consumer information,fairness,privacy laws","algorithmic fairness,computational medicine"
60,a perspective on fairness in artificial intelligence,effective exposure amortizing for fair top-k recommendation,bhattacharya p,"yang t,xu z,ai q","a perspective on fairness in artificial intelligence,priyanka bhattacharya,ssrn,artificial intelligence,biases,consumer information,fairness,privacy laws","ccs concepts â€¢ information systems â†’ recommender systems; learning to rank keywords fair ranking,exposure,position bias,top-Ã­ ÂµÃ­Â±Â˜ recommendation"
61,a perspective on fairness in artificial intelligence,"""zhores"" - petaflops supercomputer for data-driven modeling, machine learning and artificial intelligence installed in skolkovo institute of science and technology",bhattacharya p,"zacharov i,arslanov r,gunin m,stefonishin d,bykov a,pavlov s,panarin o,maliutin a,rykovanov s,fedorov m","a perspective on fairness in artificial intelligence,priyanka bhattacharya,ssrn,artificial intelligence,biases,consumer information,fairness,privacy laws","computer scalability,computing clusters,energy efficiency,high performance computing,high speed networks,parallel computation"
62,a perspective on fairness in artificial intelligence,flexible and adaptive fairness-aware learning in non-stationary data streams,bhattacharya p,"zhang w,zhang m,zhang j,liu z,...","a perspective on fairness in artificial intelligence,priyanka bhattacharya,ssrn,artificial intelligence,biases,consumer information,fairness,privacy laws","ai fairness,flexible fairness,online classification"
63,a perspective on fairness in artificial intelligence,introduction to ai fairness,bhattacharya p,"zhang y,bellamy r,liao qv,singh m","a perspective on fairness in artificial intelligence,priyanka bhattacharya,ssrn,artificial intelligence,biases,consumer information,fairness,privacy laws","algorithmic fairness,bias,decision support,discrimination-aware machine"
64,a perspective on fairness in artificial intelligence,"bias, fairness and accountability with artificial intelligence and machine learning algorithms",bhattacharya p,"zhou n,zhang z,nair vn,singhal h,chen j","a perspective on fairness in artificial intelligence,priyanka bhattacharya,ssrn,artificial intelligence,biases,consumer information,fairness,privacy laws","ai,ml,algorithm,bias,fairness"
65,a perspective on fairness in artificial intelligence,applying differential privacy mechanism in artificial intelligence,bhattacharya p,"zhu t,yu ps","a perspective on fairness in artificial intelligence,priyanka bhattacharya,ssrn,artificial intelligence,biases,consumer information,fairness,privacy laws","artificial intelligence,differential privacy,federated learning,multi-agent system,reinforcement learning"
66,using edge cases to disentangle fairness and solidarity in ai ethics,transparency and explainability of ai systems: ethical guidelines in practice,brusseau j,"balasubramaniam n,kauppinen m,hiekkanen k,kujala s","artificial intelligence,ethics,fairness,philosophy,solidarity","ai systems,ethical guidelines,explainability,quality requirements,transparency"
67,using edge cases to disentangle fairness and solidarity in ai ethics,"artificial intelligence, intersectionality, and the future of public health",brusseau j,"bauer gr,lizotte dj","artificial intelligence,ethics,fairness,philosophy,solidarity","ajph,apha,american,association,health,journal,public,ethics,infrastructure,policy,practice"
68,using edge cases to disentangle fairness and solidarity in ai ethics,fairness & friends in the data science era,brusseau j,"catania b,guerrini g,accinelli c","artificial intelligence,ethics,fairness,philosophy,solidarity","data-informed automated decision system,diversity,fairness,nondiscrimination,processing pipeline"
69,using edge cases to disentangle fairness and solidarity in ai ethics,a sociotechnical view of algorithmic fairness,brusseau j,"dolata m,feuerriegel s,schwabe g","artificial intelligence,ethics,fairness,philosophy,solidarity","algorithmic fairness,literature review,problematization,research agenda,sociotechnical perspective,state of the art"
70,using edge cases to disentangle fairness and solidarity in ai ethics,ai-enabled radio resource allocation in 5g for urllc and embb users,brusseau j,"elsayed m,erol-kantarci m","artificial intelligence,ethics,fairness,philosophy,solidarity","5g mobile communication,delays,quality of service,reliability,resource management,throughput"
71,using edge cases to disentangle fairness and solidarity in ai ethics,"addressing fairness, bias, and appropriate use of artificial intelligence and machine learning in global health",brusseau j,"fletcher rr,nakeshimana a,...","artificial intelligence,ethics,fairness,philosophy,solidarity","appropriate use,artificial intelligence,bias,ethics,fairness,global health,machine learning,medicine"
72,using edge cases to disentangle fairness and solidarity in ai ethics,rawls's original position and algorithmic fairness,brusseau j,franke u,"artificial intelligence,ethics,fairness,philosophy,solidarity","algorithmic fairness,original position,veil of ignorance,veil of uncertainty"
73,using edge cases to disentangle fairness and solidarity in ai ethics,beyond bias and discrimination: redefining the ai ethics principle of fairness in healthcare machine-learning algorithms,brusseau j,"giovanola b,tiribelli s","artificial intelligence,ethics,fairness,philosophy,solidarity","bias,discrimination,ethics of algorithms,fairness,healthcare machine-learning algorithms,respect"
74,using edge cases to disentangle fairness and solidarity in ai ethics,speciesist bias in ai: how ai applications perpetuate discrimination and unfair outcomes against animals,brusseau j,"hagendorff t,bossert ln,yip textperiodcentered,tse f,singer textperiodcenteredp","artificial intelligence,ethics,fairness,philosophy,solidarity","artificial intelligence,ethics,fairness,machine learning,speciesism,speciesist bias"
75,using edge cases to disentangle fairness and solidarity in ai ethics,who is the fairest of them all? public attitudes and expectations regarding automated decision-making,brusseau j,"helberger n,araujo t,de vreese ch","artificial intelligence,ethics,fairness,philosophy,solidarity","algorithmic fairness,automated-decision making,public perceptions"
76,using edge cases to disentangle fairness and solidarity in ai ethics,principal fairness for human and algorithmic decision-making,brusseau j,"imai k,jiang z","artificial intelligence,ethics,fairness,philosophy,solidarity","algorithmic fairness,causal inference,potential outcomes,principal stratification"
77,using edge cases to disentangle fairness and solidarity in ai ethics,"introduction to the special issue on ai fairness, trust, and ethics",brusseau j,"jr lp,bansal g,melville n,...","artificial intelligence,ethics,fairness,philosophy,solidarity","ai bias,ai fairness,ai trust,artificial intelligence"
78,using edge cases to disentangle fairness and solidarity in ai ethics,exploring bias and fairness in artificial intelligence and machine learning algorithms,brusseau j,"khakurel ub,abdelmoumin g,bajracharya a,rawat db","artificial intelligence,ethics,fairness,philosophy,solidarity","artificial intelligence,detection and tracking algorithms,machine learning,performance modeling,systems modeling"
79,using edge cases to disentangle fairness and solidarity in ai ethics,ai & intellectual property: towards an articulated public domain,brusseau j,kop m,"artificial intelligence,ethics,fairness,philosophy,solidarity","founder of musicajuridica and strategic in- tellectual property lawyer at alrecht in amsterdam,james grimmelmann (cornell law school),joao pedro quintais (ivir) and suzan slijpen (slijpen legal),for their valuable contributions,insight and comments"
80,using edge cases to disentangle fairness and solidarity in ai ethics,a survey on datasets for fairness-aware machine learning,brusseau j,"le quy t,roy a,iosifidis v,zhang w,ntoutsi e","artificial intelligence,ethics,fairness,philosophy,solidarity","aware machine learning,benchmark datasets,bias,datasets for fairness,discrimination,fairness"
81,using edge cases to disentangle fairness and solidarity in ai ethics,revealing factors influencing students' perceived fairness: a case with a predictive system for math learning,brusseau j,"li c,xing w","artificial intelligence,ethics,fairness,philosophy,solidarity","fair ai,human-centered computing,math learning,perceived fairness"
82,using edge cases to disentangle fairness and solidarity in ai ethics,fmea-ai: ai fairness impact assessment using failure mode and effects analysis,brusseau j,"li j,chignell textperiodcenteredm","artificial intelligence,ethics,fairness,philosophy,solidarity","artificial intelligence,ethics,human rights impact assessments,proportional satisfaction of claims,risk analysis"
83,using edge cases to disentangle fairness and solidarity in ai ethics,trustworthy ai: from principles to practices,brusseau j,"libo,qipeng,liubo,dishuai,liujingen,peijiquan,yijinfeng,zhoubowen","artificial intelligence,ethics,fairness,philosophy,solidarity","trustworthy ai,accountability,explainability,fairness,generalization,privacy protection,reproducibility,robustness,transparency"
84,using edge cases to disentangle fairness and solidarity in ai ethics,"assessing the fairness of ai systems: ai practitioners' processes, challenges, and needs for support",brusseau j,"madaio m,egede l,subramonyam h,wortman vaughan j,wallach h","artificial intelligence,ethics,fairness,philosophy,solidarity","ai,fairness,machine learning,software development practices"
